Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6000.000000,6110.000000,5660.000000,6110.000000,4469.932617,74195000
2000-01-05,5800.000000,6060.000000,5520.000000,5580.000000,4082.197021,74680000
2000-01-06,5750.000000,5780.000000,5580.000000,5620.000000,4111.459473,54390000
2000-01-07,5560.000000,5670.000000,5360.000000,5540.000000,4052.931885,40305000
2000-01-10,5600.000000,5770.000000,5580.000000,5770.000000,4221.196777,46880000
2000-01-11,5820.000000,6100.000000,5770.000000,5770.000000,4221.196777,59745000
2000-01-12,5610.000000,5740.000000,5600.000000,5720.000000,4184.618164,29220000
2000-01-13,5600.000000,5740.000000,5560.000000,5710.000000,4177.300781,41190000
2000-01-14,5720.000000,5880.000000,5680.000000,5830.000000,4265.089355,49375000
2000-01-17,6000.000000,6180.000000,5920.000000,6100.000000,4462.615723,63505000
2000-01-18,6160.000000,6160.000000,5980.000000,6100.000000,4462.615723,45260000
2000-01-19,6000.000000,6040.000000,5960.000000,5960.000000,4360.194824,40205000
2000-01-20,5860.000000,6040.000000,5820.000000,6040.000000,4418.721680,37315000
2000-01-21,5950.000000,5980.000000,5880.000000,5880.000000,4301.668457,32535000
2000-01-24,5800.000000,5900.000000,5700.000000,5700.000000,4169.984863,34355000
2000-01-25,5520.000000,5640.000000,5440.000000,5440.000000,3979.775879,44250000
2000-01-26,5500.000000,5520.000000,5410.000000,5480.000000,4009.038330,29285000
2000-01-27,5480.000000,5620.000000,5430.000000,5520.000000,4038.301270,27900000
2000-01-28,5640.000000,5880.000000,5540.000000,5820.000000,4257.773926,38315000
2000-01-31,5640.000000,5730.000000,5560.000000,5580.000000,4082.197021,39630000
2000-02-01,5600.000000,5680.000000,5260.000000,5320.000000,3891.986328,71470000
2000-02-02,5220.000000,5370.000000,5110.000000,5250.000000,3840.776611,64105000
2000-02-03,5250.000000,5460.000000,4970.000000,5130.000000,3752.986572,142765000
2000-02-04,5130.000000,5130.000000,5130.000000,5130.000000,3752.986572,0
2000-02-07,5140.000000,5330.000000,5040.000000,5240.000000,3833.460205,64140000
2000-02-08,5340.000000,5480.000000,5310.000000,5430.000000,3972.460205,58460000
2000-02-09,5560.000000,5720.000000,5480.000000,5720.000000,4184.618164,51050000
2000-02-10,5660.000000,5880.000000,5600.000000,5760.000000,4213.881348,61845000
2000-02-11,5960.000000,5960.000000,5680.000000,5700.000000,4169.984863,34660000
2000-02-14,5600.000000,5660.000000,5340.000000,5380.000000,3935.881104,44140000
2000-02-15,5380.000000,5420.000000,5140.000000,5200.000000,3804.196289,38315000
2000-02-16,5180.000000,5200.000000,4780.000000,5000.000000,3657.882324,73115000
2000-02-17,4940.000000,5100.000000,4910.000000,5080.000000,3716.407959,65185000
2000-02-18,5370.000000,5630.000000,5160.000000,5300.000000,3877.355225,108750000
2000-02-21,5200.000000,5260.000000,5030.000000,5070.000000,3709.092285,26485000
2000-02-22,5000.000000,5240.000000,5000.000000,5120.000000,3745.670654,24180000
2000-02-23,5220.000000,5260.000000,5100.000000,5140.000000,3760.302246,27720000
2000-02-24,5120.000000,5240.000000,5060.000000,5070.000000,3709.092285,26075000
2000-02-25,5080.000000,5150.000000,4980.000000,5120.000000,3745.670654,27875000
2000-02-28,5000.000000,5050.000000,4800.000000,4800.000000,3511.565674,30140000
2000-02-29,4900.000000,5140.000000,4840.000000,5120.000000,3745.670654,51820000
2000-03-01,5120.000000,5120.000000,5120.000000,5120.000000,3745.670654,0
2000-03-02,5880.000000,5880.000000,5520.000000,5880.000000,4301.668457,117750000
2000-03-03,6200.000000,6250.000000,5880.000000,6000.000000,4389.457031,140990000
2000-03-06,6000.000000,6050.000000,5600.000000,5640.000000,4126.090820,39150000
2000-03-07,5600.000000,5640.000000,5480.000000,5620.000000,4111.459473,30070000
2000-03-08,5520.000000,6000.000000,5500.000000,5920.000000,4330.931641,32460000
2000-03-09,5970.000000,5980.000000,5620.000000,5620.000000,4111.459473,55890000
2000-03-10,5790.000000,5800.000000,5520.000000,5540.000000,4052.931885,28605000
2000-03-13,5480.000000,5490.000000,5160.000000,5180.000000,3789.564941,32215000
2000-03-14,5170.000000,5380.000000,5160.000000,5210.000000,3811.513428,30060000
2000-03-15,5200.000000,5400.000000,5120.000000,5400.000000,3950.511230,46105000
2000-03-16,5480.000000,5520.000000,5360.000000,5400.000000,3950.511230,28795000
2000-03-17,5540.000000,5560.000000,5400.000000,5480.000000,4009.038330,24080000
2000-03-20,5600.000000,5710.000000,5530.000000,5660.000000,4140.722656,26365000
2000-03-21,5700.000000,5940.000000,5610.000000,5880.000000,4301.668457,44925000
2000-03-22,5960.000000,6300.000000,5880.000000,6200.000000,4535.773438,86975000
2000-03-23,6480.000000,6580.000000,6200.000000,6200.000000,4535.773438,64950000
2000-03-24,6320.000000,7120.000000,6180.000000,6800.000000,4974.719238,90260000
2000-03-27,6960.000000,7040.000000,6700.000000,6800.000000,4974.719238,67730000
2000-03-28,6900.000000,7260.000000,6820.000000,7030.000000,5142.983398,74425000
2000-03-29,7030.000000,7680.000000,6980.000000,7660.000000,5603.876465,78090000
2000-03-30,7520.000000,7560.000000,7050.000000,7050.000000,5157.613770,74645000
2000-03-31,6800.000000,7070.000000,6650.000000,6700.000000,4901.560547,63855000
2000-04-03,6920.000000,7320.000000,6860.000000,7100.000000,5194.192383,56805000
2000-04-04,7000.000000,7290.000000,6660.000000,6800.000000,4974.719238,58340000
2000-04-05,6800.000000,6800.000000,6800.000000,6800.000000,4974.719238,0
2000-04-06,6860.000000,6960.000000,6680.000000,6680.000000,4886.929688,47235000
2000-04-07,6860.000000,7260.000000,6780.000000,7200.000000,5267.349609,42355000
2000-04-10,7500.000000,7500.000000,7200.000000,7300.000000,5340.507324,35885000
2000-04-11,7200.000000,7200.000000,6950.000000,7100.000000,5194.192383,29075000
2000-04-12,6960.000000,7030.000000,6860.000000,6910.000000,5055.192871,35250000
2000-04-13,6910.000000,6910.000000,6910.000000,6910.000000,5055.192871,0
2000-04-14,6600.000000,6680.000000,6260.000000,6260.000000,4579.667969,62365000
2000-04-17,5420.000000,5750.000000,5340.000000,5520.000000,4038.301270,78050000
2000-04-18,6200.000000,6240.000000,5860.000000,6040.000000,4418.721680,73730000
2000-04-19,6300.000000,6460.000000,5860.000000,6000.000000,4389.457031,60615000
2000-04-20,5960.000000,6160.000000,5920.000000,6020.000000,4404.089844,37335000
2000-04-21,6060.000000,6180.000000,5970.000000,6050.000000,4426.036621,26425000
2000-04-24,5970.000000,6030.000000,5760.000000,5800.000000,4243.143066,27830000
2000-04-25,5620.000000,5760.000000,5520.000000,5640.000000,4126.090820,34900000
2000-04-26,5820.000000,5860.000000,5600.000000,5600.000000,4096.829102,39290000
2000-04-27,5520.000000,5700.000000,5400.000000,5400.000000,3950.511230,54110000
2000-04-28,5500.000000,6100.000000,5460.000000,6000.000000,4389.457031,75530000
2000-05-01,6000.000000,6000.000000,6000.000000,6000.000000,4389.457031,0
2000-05-02,6200.000000,6530.000000,6120.000000,6280.000000,4594.299316,72335000
2000-05-03,6240.000000,6260.000000,6090.000000,6180.000000,4521.142578,26585000
2000-05-04,6220.000000,6360.000000,6140.000000,6180.000000,4521.142578,26100000
2000-05-05,6180.000000,6180.000000,6180.000000,6180.000000,4521.142578,0
2000-05-08,6400.000000,6700.000000,6300.000000,6560.000000,4799.141113,52695000
2000-05-09,6560.000000,6560.000000,6560.000000,6560.000000,4799.141113,0
2000-05-10,6320.000000,6390.000000,6270.000000,6350.000000,4645.509766,27620000
2000-05-11,6350.000000,6350.000000,6350.000000,6350.000000,4645.509766,0
2000-05-12,6420.000000,6440.000000,6160.000000,6160.000000,4506.509766,47170000
2000-05-15,6290.000000,6530.000000,6220.000000,6440.000000,4711.352539,47120000
2000-05-16,6510.000000,6800.000000,6510.000000,6800.000000,4974.719238,39620000
2000-05-17,7000.000000,7340.000000,6920.000000,6920.000000,5062.508301,76235000
2000-05-18,6740.000000,7000.000000,6680.000000,6800.000000,4974.719238,36580000
2000-05-19,6740.000000,6900.000000,6600.000000,6900.000000,5047.877441,41450000
2000-05-22,6720.000000,6830.000000,6620.000000,6670.000000,4879.614258,36385000
2000-05-23,6500.000000,6700.000000,6350.000000,6380.000000,4667.458008,41290000
